30
    1     2     1
    2     7     6
    3    19    17
    4    33    30
    5    26    23
    6    11    14
    7     9    12
    8    25    26
    9    22    23
   10    11    13
   11    30    29
   12     8     5
   13    33    30
   14     6     6
   15    15    13
   16     4     6
   17    25    25
   18     7     7
   19    17    15
   20    26    29
   21    19    17
   22    23    21
   23    22    20
   24     8     7
   25    21    20
   26    25    26
   27    16    15
   28     4     7
   29     1     1
   30    13    11
316
