100
    1     2     1
    2    25    21
    3    21    17
    4    19    15
    5    32    38
    6    68    74
    7    79    72
    8     8    11
    9    27    23
   10     9    13
   11    21    14
   12    57    50
   13    79    75
   14    44    51
   15    71    73
   16     9     6
   17    50    55
   18    26    22
   19    41    45
   20    12    14
   21    44    47
   22    33    36
   23    45    50
   24    49    52
   25    35    35
   26    30    26
   27    69    75
   28    32    37
   29     7     1
   30    62    56
   31    57    51
   32    54    55
   33    62    65
   34    66    73
   35    11    18
   36    57    56
   37    18    13
   38    33    31
   39    62    67
   40    65    62
   41     5    10
   42    54    57
   43    42    49
   44    45    42
   45    25    22
   46    21    22
   47    49    50
   48    65    71
   49    63    62
   50     6    10
   51     1     4
   52    75    69
   53     5     1
   54    56    51
   55    24    21
   56    41    37
   57    36    37
   58    12     9
   59    46    42
   60    58    59
   61    15    15
   62    37    43
   63     1     4
   64    24    22
   65    34    36
   66    53    47
   67    33    36
   68    59    62
   69    52    54
   70    65    72
   71    35    36
   72    36    34
   73    69    65
   74    64    66
   75    63    61
   76    69    63
   77    25    31
   78     7     5
   79    29    23
   80    75    73
   81    69    67
   82    49    54
   83    39    37
   84    66    65
   85    49    45
   86    48    48
   87    78    73
   88    29    31
   89     5     2
   90     1     6
   91    44    39
   92    31    33
   93    54    59
   94     7    12
   95    57    61
   96     9    16
   97    53    56
   98     8     9
   99    39    37
  100    75    73
2661
