50
    1     9     1
    2    27     6
    3    27    17
    4    12    30
    5    17    23
    6     2    14
    7    30    12
    8     5    26
    9    12    23
   10     4    13
   11    15    29
   12    30     5
   13    27    30
   14    16     6
   15    21    13
   16    11     6
   17    18    25
   18    27     7
   19    19    15
   20    21    29
   21    20    17
   22    20    21
   23    18    20
   24     5     7
   25    23    20
   26    27    26
   27    17    15
   28    18     7
   29    29     1
   30    29    11
   31    29    21
   32     7    10
   33     5    20
   34    16    28
   35     1    18
   36    24    11
   37    28    13
   38    25     1
   39    18     7
   40    11     2
   41    18    10
   42    20    27
   43     1     4
   44    11    12
   45    26    22
   46     7    22
   47    22     5
   48    17    11
   49    24    17
   50    19    25
380
