30
    1     9     1
    2    27     6
    3    27    17
    4    12    30
    5    17    23
    6     2    14
    7    30    12
    8     5    26
    9    12    23
   10     4    13
   11    15    29
   12    30     5
   13    27    30
   14    16     6
   15    21    13
   16    11     6
   17    18    25
   18    27     7
   19    19    15
   20    21    29
   21    20    17
   22    20    21
   23    18    20
   24     5     7
   25    23    20
   26    27    26
   27    17    15
   28    18     7
   29    29     1
   30    29    11
237
